摘要キーワード,自社PL勘定項目,金額下限,金額上限,データソース区分
サイキヨウシンキン ド）ウエルノバ,広告宣伝費,,,
カ）ユ－スポ,広告宣伝費,,,
ユ－スポ,広告宣伝費,,,
ユースポ,広告宣伝費,,,
ウエルノバ,広告宣伝費,,,
Ｍａｎｅｑｌ,広告宣伝費,,,
Maneql,広告宣伝費,,,
けむり高円寺店,接待交際費,,,
ＤＥＮ’ｓ 酒店 鶴亀,接待交際費,,,
モバイルＰＡＳＭＯチャージ,旅費交通費,,,
ＰＡＳＭＯチャージ,旅費交通費,,,
株式会社Ｌｕｕｐ,旅費交通費,,,
Ｌｕｕｐ,旅費交通費,,,
ECOPOOL(NCD),旅費交通費,,,
GOOGLE*WORKSPACE HALKA,通信費,,,
GOOGLE *CHATGPT,通信費,,,
OPENAI *CHATGPT,通信費,,,
CHATGPT SUBSCR,通信費,,,
GOOGLE*GOOGLE ONE,通信費,,,
GOOGLE,通信費,,,
海外 AQUA VOICE,通信費,,,
AQUA VOICE,通信費,,,
LINE OFFICIAL ACCOUNT,通信費,,,
ＬＩＮＥ公式アカウント,通信費,,,
アドビカブシキガイシャ,通信費,,,
アドビ（株）,通信費,,,
アドビ,通信費,,,
ｱﾄﾞﾋﾞｶﾌﾞｼｷｶﾞｲｼｬ,通信費,,,
NOTION,通信費,,,
RKS(ｶｲﾎﾟｹBIZ,通信費,,,
ＭＩＣＲＯＳＯＦＴ＊ＭＩＣＲＯＳＯＦＴ,通信費,,,
ＭＩＣＲＯＳＯＦＴ＊ＳＴＯＲＥ,通信費,,,
MICROSOFT,通信費,,,
JCB)ﾛﾎﾞﾂﾄﾍﾟｲ,通信費,,,
ﾛﾎﾞﾂﾄﾍﾟｲ,通信費,,,
AP(ｿﾌﾄﾊﾞﾝｸ(B,通信費,,,
ｿﾌﾄﾊﾞﾝｸ(B,通信費,,,
SOFTBANKM,通信費,,,
ソフトバンク（Ｂ）,通信費,,,
ソフトバンクＭ,通信費,,,
ソフトバンクM,通信費,,,
エックスサーバー,通信費,,,
東京電力 電気料金等,水道光熱費,,,
東京電力,水道光熱費,,,
電気料金等,水道光熱費,,,
スイドウリヨウ,水道光熱費,,,
DP11 ASKUL B2B,備品消耗品費,,,
ＡＭＡＺＯＮ．ＣＯ．ＪＰ,備品消耗品費,,,
AMAZON CO JP,備品消耗品費,,,
アマゾン,備品消耗品費,,,
ユニクロ／ＮＦＣ,備品消耗品費,,,
ユニクロ,備品消耗品費,,,
アスクル,備品消耗品費,,,
ASKUL,備品消耗品費,,,
ＳＥＩＹＵ,備品消耗品費,,,
ヨドバシカメラ,備品消耗品費,,,
ダイソー／ＮＦＣ,備品消耗品費,,,
ローソン,備品消耗品費,,,
東急ストア,備品消耗品費,,,
Ａｎｋｅｒ Ｓｔｏｒｅ,備品消耗品費,,,
ユニフォームネクスト,備品消耗品費,,,
ミズホ アスクリエ－シヨン,備品消耗品費,,,
アスクリエ－シヨン,備品消耗品費,,,
３ＣＯＩＮＳ＋ｐｌｕｓ,備品消耗品費,,,
コジマ,備品消耗品費,,,
ワッツ 高円寺,備品消耗品費,,,
APｱﾌﾟﾗｽ,リース料,,,
SMBC(ﾌｼﾞﾌｲﾙﾑBI,リース料,,,
カ）グラシア,旅費交通費,,,
DF.ｾﾞﾝﾎﾚﾝ(ｶ,地代家賃,,,
DF.ゼンホレン,地代家賃,,,
日本訪問看護財団,雑費,,,
MBS.ﾊﾞｲｼﾖｳﾎｹﾝ,保険料,,,
振込手数料,支払手数料,,,
カード発行手数料,支払手数料,,,
NSS.ｾﾞｲﾘｼﾎｳｼﾕｳ,支払報酬,,,
NSS.ｼﾔﾛｳｼ,支払報酬,,,
普通預金 利息,本部売上,,,
トウキヨウトコクミンホケンレンゴウカイ,本部売上,,,
トウキヨウトコクミンケンコウホケンダンタイレンゴウカイ,本部売上,,,
シヤカイホケンシンリヨウホウシユウシハライキキン,本部売上,,,
カ）エスエムエス,本部売上,,,
ワタナベ　ミチエ,本部売上,,,
tiktok,本部売上,,,
シブヤ ケイタ,本部売上,,,
シブヤ　ケイタ,本部売上,,,
賞与,賞与,,,
労働保険,労働保険料,,,
他税金,他税金支払い,,,
退職金積み立て,退職金積み立て,59900,60100,
退職金,退職金積み立て,59900,60100,
福利厚生費,福利厚生,10000,,
ととうお,福利厚生,10000,,
管理者懇親会,福利厚生,10000,,
GFパーク上町,旅費交通費,,,
三井のリパーク,旅費交通費,,,
パラカ株式会社,旅費交通費,,,
スターツアメニティー株式会社,中村橋家賃,,,
スタ－ツアメニテイ－,中村橋家賃,,,
駐車場代,旅費交通費,,,
接待交際費,接待交際費,10000,,
チユウオウロウキン ノダ アサコ,地代家賃,,,
エポスカード,地代家賃,,,
アイテイ－スペ－ス　オフイス,地代家賃,,,
家賃,地代家賃,,,
地代家賃,地代家賃,,,
渋谷　家賃,地代家賃,,,
小山株式会社,備品消耗品費,,,
マスク,備品消耗品費,,,
メルセデスベンツ,車両運搬費,,,
車両費,車両運搬費,,,
Ｊａｐａｎ電力株式会社,水道光熱費,,,
Japan電力,水道光熱費,,,
損害保険料,保険料,,,
横浜地方法務局,租税公課,,,
Ｓｕｉｃａ〔携帯決済〕,雑費,,,
GMOあおネット銀行,雑費,,,
ＶＩＳＡデビツトキヤツシユバツク,その他入金,,,
デビツトキヤツシユバツク,その他入金,,,
スギナミクカイゴホケンカブツカコウトウ,その他入金,,,
とくとく会員,雑費,,,
手数料,雑費,,,
顧問料,支払報酬,,,
トータルリンクス,返済費用,,,
ト－タルリンクス,返済費用,,,
チユウオウロウキン ノダ,地代家賃,,,
カナガワ エイトプラス,車両運搬費,,,
ラクテン ナカムラ,支払報酬,,,
ナカムラ　シユウヘイ,支払報酬,,,
TASKAR COLORS INC.,コンサル使用経費,,,
ネコノ,コンサル使用経費,,,
オーケー新子安店,雑費,,,
アマゾンサービシーズインターナショナル,雑費,,,
アマゾン　シーオージェーピー,雑費,,,
イトーヨーカドー,雑費,,,
マルエツ,雑費,,,
ファミリーマート,雑費,,,
南江堂オンラインショッピング,雑費,,,
CYCLEBASEASAHI,車両運搬費,,,
サイクルベースあさひ,車両運搬費,,,
WA-KUMAN,備品消耗品費,,,
ワークマン,備品消耗品費,,,
APPLE.COM,備品消耗品費,,,
JR EAST SHOPPING CENTER,旅費交通費,,,
KENTUCKY FRIED CHICKEN,備品消耗品費,,4999
KENTUCKY FRIED CHICKEN,接待交際費,5000,
自遊空間,接待交際費,,,
DEMAECAN,備品消耗品費,,4999
DEMAECAN,接待交際費,5000,
AEONLIQUOR,備品消耗品費,,4999
AEONLIQUOR,接待交際費,5000,
NITORI,備品消耗品費,,,
GYOZA UTSUNOMIYAMINMIN,備品消耗品費,,4999
GYOZA UTSUNOMIYAMINMIN,接待交際費,5000,
TOMOZUNISHIEIFUKUTEN,備品消耗品費,,,
IKEBARU,備品消耗品費,,4999
IKEBARU,接待交際費,5000,
ORINPITSUKUNAKAMURABASH,備品消耗品費,,4999
ORINPITSUKUNAKAMURABASH,接待交際費,5000,
RAKUTENPAY GONBEGONBENOIR,備品消耗品費,,4999
RAKUTENPAY GONBEGONBENOIR,接待交際費,5000,
POST OFFICE,通信費,,,
MYBASKET NAKAMURABASHIEKI,備品消耗品費,,4999
MYBASKET NAKAMURABASHIEKI,接待交際費,5000,
NAPOKAMA,備品消耗品費,,4999
NAPOKAMA,接待交際費,5000,
SANDORATSUGU,備品消耗品費,,4999
SANDORATSUGU,接待交際費,5000,
Y SROAD SHINJUKUCROSSBIKE,車両運搬費,,,
ワイズロード,車両運搬費,,,
ＥＮＥＯＳ,旅費交通費,,,
